,Mean,Std
NDVI_B8,0.15918828845024108,0.006767375270599038
B8,0.07332582473754883,0.0041878487743915935
dem100,0.04509584307670593,0.00412324371614313
Growing_season_length,0.03977453112602234,0.0008016464949001339
B3,0.028861337900161745,0.0025826898162322033
Slope,0.02096956968307495,0.002119979537168375
swe_4,0.015152209997177124,0.0013255419592021612
bioclim_7,0.013754236698150634,0.0015292742585286804
Visible_Sky,0.01312289834022522,0.0034621210221193665
Total_insolation,0.012671935558319091,0.0036591584970135224
Topographic_Wetness_Index,0.011995494365692139,0.0023406462183340813
bioclim_12,0.011364156007766723,0.003203386805213147
bioclim_3,0.01023675799369812,0.0016483163309374477
sca_9,0.009334850311279296,0.0027747662642464296
bioclim_18,0.00802706480026245,0.002557372143822574
SAVI,0.007891786098480225,0.0020217773746332443
sca_2,0.006178140640258789,0.001319380861294416
B1,0.006133043766021728,0.0022565923116380526
ar50_artype1_60,0.005591893196105957,0.0010614227009182926
bioclim_10,0.005501705408096314,0.002127645647929822
Aspect,0.005095839500427246,0.0011637848407986353
Proxy_coast,0.004464501142501831,0.0009921136227748538
bioclim_5,0.004374301433563233,0.0017148239948818814
Valley_Depth,0.003652775287628174,0.001800450263364425
ar50_artype1_50,0.003607684373855591,0.0016630566062558532
ar50_skogbon1_99,0.0022548019886016847,0.0006839142047802677
Vertical_Distance_to_Channel_Network,0.0015332698822021484,0.0006898401737039945
geo_grunnvann1_1,0.001488173007965088,0.0005810103740960176
geo_infiltr_evne1_1,0.0010372161865234374,0.00048569491817861073
ar50_artype1_20,0.0010372161865234374,0.00018037408599549444
geo_berggrunn1_31,0.000496065616607666,9.019374847412108e-05
geo_grunnvann1_4,0.0002705812454223633,9.019374847412108e-05
geo_berggrunn1_26,0.00022548437118530273,0.0
